Year,Month,Day,Time,Open,High,Low,Close,Volume
2019,5,24,11:40:00,11716.65,11734.75,11716.4,11731.6,0
2019,5,24,11:45:00,11731.85,11742.8,11731.85,11737,0
2019,5,24,11:50:00,11737.05,11746.4,11733.45,11734.75,0
2019,5,24,11:55:00,11734.6,11746.85,11733.95,11743.8,0
2019,5,24,12:00:00,11745.05,11753.7,11745,11748.45,0
2019,5,24,12:05:00,11749.05,11771.25,11749.05,11764.05,0
2019,5,24,12:10:00,11763.95,11767.9,11754.35,11758.75,0
2019,5,24,12:15:00,11758.7,11758.7,11739.5,11746.4,0
2019,5,24,12:20:00,11745.9,11765.45,11745.9,11756.15,0
2019,5,24,12:25:00,11756.35,11760.1,11752.3,11760,0
2019,5,24,12:30:00,11759.9,11770.8,11758,11758.35,0
2019,5,24,12:35:00,11758.65,11764.8,11756.45,11762.4,0
2019,5,24,12:40:00,11762.1,11782.95,11760.35,11780.4,0
2019,5,24,12:45:00,11780.9,11789.2,11775.85,11789.1,0
2019,5,24,12:50:00,11788.5,11798.15,11783.55,11793.75,0
2019,5,24,12:55:00,11794.55,11795.05,11780.3,11792.9,0
2019,5,24,13:00:00,11792.65,11812.4,11792.65,11802.4,0
2019,5,24,13:05:00,11801.7,11813.6,11796.05,11812.6,0
2019,5,24,13:10:00,11812.15,11828.35,11811.5,11821.25,0
2019,5,24,13:15:00,11821.45,11831.45,11811.45,11811.45,0
2019,5,24,13:20:00,11811.4,11817.8,11806.75,11817.7,0
2019,5,24,13:25:00,11817.8,11818.55,11778.8,11778.8,0
2019,5,24,13:30:00,11778.4,11793.35,11763.7,11787.3,0
2019,5,24,13:35:00,11786.45,11795.25,11781.5,11783.1,0
2019,5,24,13:40:00,11782.95,11807,11782.95,11806.8,0
2019,5,24,13:45:00,11807.55,11810.55,11802.15,11804.75,0
2019,5,24,13:50:00,11805,11806.4,11784.45,11789.65,0
2019,5,24,13:55:00,11789.3,11803.1,11789.1,11799.1,0
2019,5,24,14:00:00,11799.1,11820.75,11794.45,11819.75,0
2019,5,24,14:05:00,11817.55,11834.55,11814.4,11829.65,0
2019,5,24,14:10:00,11829,11830.3,11809.9,11812.55,0
2019,5,24,14:15:00,11813.65,11829.05,11813.65,11828.4,0
2019,5,24,14:20:00,11829,11841.15,11826.15,11830.55,0
2019,5,24,14:25:00,11830.35,11834.8,11810.9,11821.1,0
2019,5,24,14:30:00,11820.75,11830.6,11815.4,11819.4,0
2019,5,24,14:35:00,11818.5,11831.15,11814.15,11814.35,0
2019,5,24,14:40:00,11813.5,11817.9,11803.9,11815.6,0
2019,5,24,14:45:00,11815.4,11830.65,11815.4,11824.9,0
2019,5,24,14:50:00,11824.7,11828.5,11813.45,11818.3,0
2019,5,24,14:55:00,11818.3,11828.8,11812.85,11820.75,0
2019,5,24,15:00:00,11820.4,11844.8,11820.25,11844.8,0
2019,5,24,15:05:00,11844.15,11858.1,11842.1,11845.4,0
2019,5,24,15:10:00,11845,11852.45,11836.45,11838.6,0
2019,5,24,15:15:00,11839.05,11850.7,11837.15,11840.45,0
2019,5,24,15:20:00,11840.85,11848.25,11838.55,11846.9,0
2019,5,24,15:25:00,11846.15,11846.7,11839.7,11845.3,0
2019,5,27,09:15:00,11855.5,11855.5,11812.9,11848.65,0
2019,5,27,09:20:00,11849.25,11873.35,11847.85,11869.9,0
2019,5,27,09:25:00,11870.85,11876.5,11857.55,11866.15,0
2019,5,27,09:30:00,11864.8,11874.55,11859.25,11861.25,0
2019,5,27,09:35:00,11861.75,11870.6,11853.4,11869.4,0
2019,5,27,09:40:00,11868.9,11873.75,11862.1,11872,0
2019,5,27,09:45:00,11871.5,11890.85,11871,11889.35,0
2019,5,27,09:50:00,11890.05,11895.2,11887.2,11887.85,0
2019,5,27,09:55:00,11887.95,11897.75,11885.45,11893.05,0
2019,5,27,10:00:00,11893.35,11900.05,11884.55,11884.55,0
2019,5,27,10:05:00,11884.85,11888.2,11873.85,11882.5,0
2019,5,27,10:10:00,11882.45,11893.8,11882.15,11886.05,0
2019,5,27,10:15:00,11886.45,11895,11883.7,11894.55,0
2019,5,27,10:20:00,11894.8,11896.3,11883.5,11885.75,0
2019,5,27,10:25:00,11885.85,11886.55,11881.5,11886.35,0
2019,5,27,10:30:00,11886.5,11890.15,11885.05,11888.15,0
2019,5,27,10:35:00,11887.5,11895.35,11887.5,11890.6,0
2019,5,27,10:40:00,11890.15,11890.3,11876.85,11883.05,0
2019,5,27,10:45:00,11883.15,11889.85,11881.95,11888.45,0
2019,5,27,10:50:00,11888.75,11894.45,11887.45,11887.45,0
2019,5,27,10:55:00,11887.65,11888.4,11877.5,11881.55,0
2019,5,27,11:00:00,11881.5,11889.75,11880.5,11886.4,0
2019,5,27,11:05:00,11887,11892.8,11886.8,11891.65,0
2019,5,27,11:10:00,11892.1,11893.8,11888.75,11888.8,0
2019,5,27,11:15:00,11887.8,11894.5,11886.3,11894.45,0
2019,5,27,11:20:00,11894.65,11912.6,11894.55,11909.2,0
2019,5,27,11:25:00,11909.8,11918.35,11907.4,11918.35,0
2019,5,27,11:30:00,11919.8,11921,11915.65,11918.5,0
2019,5,27,11:35:00,11918.25,11929.7,11917.85,11928.4,0
2019,5,27,11:40:00,11928.45,11933.8,11924.7,11933.3,0
2019,5,27,11:45:00,11933.3,11939.5,11929.55,11929.9,0
2019,5,27,11:50:00,11930,11931.25,11922.25,11922.4,0
2019,5,27,11:55:00,11922.45,11924.45,11919.85,11922.8,0
2019,5,27,12:00:00,11923,11930.9,11922.25,11928.4,0
2019,5,27,12:05:00,11928.8,11932.6,11928.05,11931.9,0
2019,5,27,12:10:00,11931.6,11937.45,11931.45,11933.55,0
2019,5,27,12:15:00,11933.7,11933.9,11927.5,11928.45,0
2019,5,27,12:20:00,11928.65,11929.45,11924.15,11925.3,0
2019,5,27,12:25:00,11924.95,11936.05,11924.6,11935.4,0
2019,5,27,12:30:00,11935.45,11935.95,11929.85,11932.1,0
2019,5,27,12:35:00,11932.05,11947.65,11932.05,11947.2,0
2019,5,27,12:40:00,11947.4,11947.7,11943.4,11946.15,0
2019,5,27,12:45:00,11945.75,11957.05,11945.75,11954.45,0
2019,5,27,12:50:00,11954.2,11954.2,11932.2,11932.45,0
2019,5,27,12:55:00,11932.15,11938.65,11911.1,11915.25,0
2019,5,27,13:00:00,11915.15,11933.65,11911.95,11929.7,0
2019,5,27,13:05:00,11930,11937.4,11928.6,11930.3,0
2019,5,27,13:10:00,11930,11949.55,11929.95,11943.5,0
2019,5,27,13:15:00,11943.7,11943.7,11935.5,11941.4,0
2019,5,27,13:20:00,11941.45,11942.75,11935.4,11936.45,0
2019,5,27,13:25:00,11936.2,11945.25,11934.9,11942.2,0
2019,5,27,13:30:00,11942.15,11943.45,11921.2,11931.9,0
2019,5,27,13:35:00,11932.85,11940.7,11932.65,11935.6,0
2019,5,27,13:40:00,11936,11939.5,11927.5,11929.1,0
2019,5,27,13:45:00,11928.95,11932.05,11916.9,11925.75,0
2019,5,27,13:50:00,11926.4,11937.3,11926.25,11933.35,0
